2003-01-02,999.66,0
2003-01-03,991.22,-8.44
2003-01-06,998.96,7.74
2003-01-07,999.2,0.24
2003-01-08,986.91,-12.29
2003-01-09,997.78,10.87
2003-01-10,988.31,-9.47
2003-01-13,990.48,2.17
2003-01-14,989.62,-0.86
2003-01-15,996.06,6.44
2003-01-16,993.78,-2.28
2003-01-17,995.88,2.1
2003-01-20,994.7,-1.18
2003-01-21,994.71,0.01
2003-01-22,995.98,1.27
2003-01-23,992.91,-3.07
2003-01-24,997.5,4.59
2003-01-27,994.44,-3.06
2003-01-28,987.6,-6.84
2003-01-29,986.15,-1.45
2003-01-30,987.06,0.91
2003-02-03,976.6,-10.46
2003-02-04,979.01,2.41
2003-02-05,985.26,6.25
2003-02-06,976.83,-8.43
2003-02-07,981.69,4.86
2003-02-10,979.78,-1.91
2003-02-11,983.71,3.93
2003-02-12,998.02,14.31
2003-02-13,991.31,-6.71
2003-02-14,997.18,5.87
2003-02-17,997.55,0.37
2003-02-18,1004.54,6.99
2003-02-19,1010.21,5.67
2003-02-20,1009.73,-0.48
2003-02-21,1010.69,0.96
2003-02-24,1005.85,-4.84
2003-02-25,1010.68,4.83
2003-02-26,1014.26,3.58
2003-02-27,1014.13,-0.13
2003-02-28,1008.54,-5.59
2003-03-03,1006.89,-1.65
2003-03-04,1015,8.11
2003-03-05,1018.39,3.39
2003-03-06,1019.06,0.67
2003-03-07,1029.97,10.91
2003-03-10,1040.45,10.48
2003-03-11,1051.73,11.28
2003-03-12,1055.88,4.15
2003-03-13,1053.25,-2.63
2003-03-14,1051.44,-1.81
2003-03-17,1051.38,-0.06
2003-03-18,1045.25,-6.13
2003-03-19,1053.76,8.51
2003-03-20,1046.03,-7.73
2003-03-21,1042.36,-3.67
2003-03-24,1032.73,-9.63
2003-03-25,1036.97,4.24
2003-03-26,1038.98,2.01
2003-03-27,1037.64,-1.34
2003-03-28,1037.56,-0.08
2003-03-31,1044.65,7.09
2003-04-01,1064.97,20.32
2003-04-02,1064,-0.97
2003-04-03,1053.56,-10.44
2003-04-04,1051.75,-1.81
2003-04-07,1045.94,-5.81
2003-04-08,1048.16,2.22
2003-04-09,1047.89,-0.27
2003-04-10,1042.98,-4.91
2003-04-11,1036.71,-6.27
2003-04-14,1016.2,-20.51
2003-04-15,1016.99,0.79
2003-04-16,1011.26,-5.73
2003-04-17,1017.52,6.26
2003-04-18,1010.74,-6.78
2003-04-21,1006.81,-3.93
2003-04-22,1000.04,-6.77
2003-04-23,1015.65,15.61
2003-04-24,1011.32,-4.33
2003-04-25,1019.33,8.01
2003-04-28,1025.63,6.3
2003-04-29,1020.71,-4.92
2003-04-30,1014,-6.71
2003-05-02,1024.86,10.86
2003-05-06,1022.15,-2.71
2003-05-07,1025.03,2.88
2003-05-09,1022.07,-2.96
2003-05-12,1025.77,3.7
2003-05-13,1020.87,-4.9
2003-05-14,1027.27,6.4
2003-05-15,1033.68,6.41
2003-05-16,1025.88,-7.8
2003-05-19,1035.94,10.06
2003-05-20,1019,-16.94
2003-05-21,1027.55,8.55
2003-05-22,1014.75,-12.8
2003-05-23,1020.15,5.4
2003-05-26,1020.65,0.5
2003-05-27,1021.25,0.6
2003-05-28,1023.07,1.82
2003-05-29,1012.44,-10.63
2003-05-30,1020.94,8.5
2003-06-02,1009.25,-11.69
2003-06-03,1017.48,8.23
2003-06-04,1008.09,-9.39
2003-06-05,1011.07,2.98
2003-06-09,1011.07,0
2003-06-10,1015.87,4.8
2003-06-11,1013.54,-2.33
2003-06-12,1013.55,0.01
2003-06-13,1015,1.45
2003-06-16,1016.36,1.36
2003-06-17,1012.07,-4.29
2003-06-18,1005.63,-6.44
2003-06-19,1003.18,-2.45
2003-06-20,1000.46,-2.72
2003-06-23,1005.36,4.9
2003-06-24,1012.37,7.01
2003-06-25,1008.52,-3.85
2003-06-26,1006.22,-2.3
2003-06-27,993.76,-12.46
2003-06-30,996.41,2.65
2003-07-01,998.79,2.38
2003-07-02,998.53,-0.26
2003-07-03,1005.08,6.55
2003-07-04,1002.83,-2.25
2003-07-07,1000.8,-2.03
2003-07-08,998.6,-2.2
2003-07-09,997.12,-1.48
2003-07-10,1001.36,4.24
2003-07-11,1001.32,-0.04
2003-07-14,1001.57,0.25
2003-07-15,1000.04,-1.53
2003-07-16,993.28,-6.76
2003-07-18,992.38,-0.9
2003-07-21,999.37,6.99
2003-07-22,993.56,-5.81
2003-07-23,992.32,-1.24
2003-07-24,995.16,2.84
2003-07-25,990.48,-4.68
2003-07-28,992.98,2.5
2003-07-29,986.49,-6.49
2003-07-30,983.86,-2.63
2003-07-31,980.92,-2.94
2003-08-01,979.14,-1.78
2003-08-04,983.05,3.91
2003-08-05,981.84,-1.21
2003-08-06,989.45,7.61
2003-08-07,986.89,-2.56
2003-08-08,994.67,7.78
2003-08-11,992.28,-2.39
2003-08-12,995.57,3.29
2003-08-13,993.63,-1.94
2003-08-14,988.89,-4.74
2003-08-18,989.3,0.41
2003-08-19,985.29,-4.01
2003-08-20,993.47,8.18
2003-08-21,995.68,2.21
2003-08-22,996.22,0.54
2003-08-25,996.3,0.08
2003-08-26,997.57,1.27
2003-08-27,997.4,-0.17
2003-08-28,999.79,2.39
2003-08-29,1005.33,5.54
2003-09-01,1010.76,5.43
2003-09-02,1009.23,-1.53
2003-09-03,1009.78,0.55
2003-09-04,1014.19,4.41
2003-09-05,1003.98,-10.21
2003-09-08,995.88,-8.1
2003-09-09,1005.62,9.74
2003-09-15,997.57,-8.05
2003-09-16,999.28,1.71
2003-09-17,1008.57,9.29
2003-09-18,1007.96,-0.61
2003-09-19,1014.83,6.87
2003-09-22,1042.04,27.21
2003-09-23,1028.02,-14.02
2003-09-24,1025.16,-2.86
2003-09-25,1029.8,4.64
2003-09-26,1026.9,-2.9
2003-09-29,1031.51,4.61
2003-09-30,1028.94,-2.57
2003-10-01,1034.21,5.27
2003-10-02,1037.69,3.48
2003-10-06,1036.63,-1.06
2003-10-07,1037.33,0.7
2003-10-08,1049.16,11.83
2003-10-09,1048.98,-0.18
2003-10-10,1052.99,4.01
2003-10-13,1058.77,5.78
2003-10-14,1051.3,-7.47
2003-10-15,1064.55,13.25
2003-10-16,1066.38,1.83
2003-10-17,1073.23,6.85
2003-10-20,1077.67,4.44
2003-10-21,1065.07,-12.6
2003-10-22,1076.2,11.13
2003-10-23,1085.16,8.96
2003-10-24,1077.03,-8.13
2003-10-27,1088.44,11.41
2003-10-28,1091.88,3.44
2003-10-29,1093.87,1.99
2003-10-30,1091.5,-2.37
2003-10-31,1083.52,-7.98
2003-11-03,1077.5,-6.02
2003-11-04,1069.04,-8.46
2003-11-05,1081.39,12.35
2003-11-06,1076.87,-4.52
2003-11-07,1072.47,-4.4
2003-11-10,1077.46,4.99
2003-11-11,1080.18,2.72
2003-11-12,1080.7,0.52
2003-11-13,1079.76,-0.94
2003-11-14,1084.74,4.98
2003-11-17,1081.69,-3.05
2003-11-18,1081.06,-0.63
2003-11-19,1092.3,11.24
2003-11-20,1079.39,-12.91
